"time","pclose","open","close","high","low","avg","volume","amount","result"
"2015-06-04","26.99","27.15","27.35","27.66","25.5","26.883431","103373238","2779027356.78","pass"
"2015-06-03","27.22","27.44","26.99","27.65","26.67","27.11255","79191777","2147091030.57","pass"
"2015-06-02","27.3","27.28","27.22","27.46","26.8","27.079384","78998831","2139239673.96","pass"
"2015-06-01","25.83","26.3","27.3","27.7","25.8","26.732782","103977139","2779598215.38","pass"
"2015-05-29","25.99","26.4","25.83","26.6","25.35","26.058103","108624000","2830535391.85","pass"
"2015-05-28","28.83","28.78","25.99","28.8","25.95","27.735498","147209531","4082929584.14","pass"
"2015-05-27","29.19","29.21","28.83","29.4","28.8","29.040119","115587364","3356670859.79","pass"
"2015-05-26","29.09","29.22","29.19","29.5","28.45","28.995436","157112125","4555534556.07","pass"
"2015-05-25","28.25","28.28","29.09","29.59","28.28","29.138479","148028521","4313325908.64","pass"
"2015-05-22","27.41","27.71","28.25","28.63","27.7","28.279805","122377455","3460810504.83","pass"
"2015-05-21","27.38","27.4","27.41","27.68","27.02","27.281468","62374552","1701669359.9","pass"
"2015-05-20","27.77","27.86","27.38","27.89","27.2","27.485288","91883510","2525444771.55","pass"
"2015-05-19","25.97","25.97","27.77","28.5","25.97","27.447386","137132065","3763916761.17","pass"
"2015-05-18","26.5","26.18","25.97","26.5","25.94","26.150835","64334543","1682401996.19","pass"
"2015-05-15","27.59","27.4","26.5","27.49","26.4","26.819644","84759235","2273212524.06","pass"
"2015-05-14","27.87","27.88","27.59","28.15","27.37","27.713988","58658616","1625664176.96","pass"
"2015-05-13","28.42","28.38","27.87","28.38","27.5","27.863485","82992966","2312473246.81","pass"
"2015-05-12","28.14","28.15","28.42","29.17","27.62","28.52471","126219719","3600380908.05","pass"
"2015-05-11","27.21","27.24","28.14","28.19","27.23","27.677172","98120256","2715691172.95","pass"
"2015-05-08","27.11","27.5","27.21","27.78","26.73","27.227672","75850707","2065238173.86","pass"
